Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 11/06/2020
Code Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
USA  1971     2.460     0.800     0.709     0.400     0.223     0.329
USA  1972     2.230     0.756     0.674     0.349     0.188     0.264
USA  1973     2.065     0.811     0.613     0.295     0.152     0.194
USA  1974     2.026     0.835     0.618     0.283     0.131     0.160
USA  1975     1.995     0.826     0.629     0.286     0.120     0.135
USA  1976     1.957     0.823     0.620     0.285     0.116     0.114
USA  1977     1.967     0.828     0.638     0.288     0.111     0.102
USA  1978     1.930     0.814     0.632     0.285     0.106     0.091
USA  1979     1.939     0.813     0.635     0.295     0.110     0.086
USA  1980     1.999     0.867     0.644     0.299     0.109     0.081
USA  1981     2.009     0.876     0.645     0.300     0.110     0.077
USA  1982     1.998     0.858     0.662     0.295     0.109     0.074
USA  1983     1.991     0.854     0.675     0.290     0.101     0.070
USA  1984     1.961     0.835     0.667     0.290     0.103     0.067
USA  1985     1.970     0.840     0.664     0.296     0.104     0.065
USA  1986     1.994     0.867     0.661     0.300     0.102     0.064
USA  1987     1.989     0.864     0.654     0.304     0.104     0.063
USA  1988     1.952     0.831     0.645     0.306     0.106     0.063
USA  1989     1.998     0.846     0.656     0.315     0.113     0.068
USA  1990     2.038     0.853     0.665     0.324     0.122     0.074
USA  1991     2.067     0.871     0.663     0.327     0.126     0.079
USA  1992     2.181     0.891     0.712     0.357     0.135     0.086
USA  1993     2.224     0.872     0.737     0.380     0.145     0.090
USA  1994     2.252     0.919     0.729     0.368     0.142     0.095
USA  1995     2.215     0.982     0.691     0.330     0.127     0.085
USA  1996     2.178     0.987     0.674     0.317     0.121     0.079
USA  1997     2.141     0.940     0.679     0.321     0.121     0.080
USA  1998     2.187     0.928     0.716     0.336     0.126     0.082
USA  1999     2.260     0.956     0.737     0.353     0.132     0.082
USA  2000     2.335     0.973     0.756     0.377     0.140     0.087
USA  2001     2.328     0.953     0.769     0.378     0.141     0.087
USA  2002     2.387     0.994     0.778     0.384     0.145     0.087
USA  2003     2.309     0.938     0.747     0.388     0.147     0.089
USA  2004     2.148     0.823     0.709     0.376     0.149     0.091
USA  2005     2.065     0.783     0.677     0.363     0.149     0.093
USA  2006     2.119     0.818     0.680     0.372     0.152     0.097
USA  2007     2.242     0.884     0.710     0.388     0.159     0.101
USA  2008     2.295     0.921     0.721     0.388     0.161     0.104
USA  2009     2.355     0.960     0.745     0.382     0.160     0.108
USA  2010     2.333     0.968     0.729     0.374     0.157     0.106
USA  2011     2.207     0.910     0.688     0.354     0.152     0.103
USA  2012     2.171     0.897     0.678     0.345     0.148     0.103
USA  2013     2.195     0.923     0.674     0.346     0.147     0.105
USA  2014     2.165     0.882     0.671     0.352     0.152     0.108
USA  2015     2.142     0.840     0.681     0.359     0.154     0.108
USA  2016     2.078     0.806     0.667     0.347     0.149     0.109
